Freq,Posting_ptr,Terms_ptr
88,"[23, 34, 13, 53, 66, 44, 64, 23, 20, 77, 77, 58, 82, 47, 84, 66, 31, 24, 86, 47, 47, 69, 21, 49, 86, 54, 10, 30, 44, 13, 78, 26, 22, 17, 43, 32, 76, 28, 14, 35, 78, 62, 58, 49, 13, 76, 21, 13, 84, 23, 79, 26, 0, 27, 48, 17, 60, 81, 84, 50, 82, 2, 55, 73, 46, 28, 59, 67, 44, 50, 45, 59, 67, 44, 15, 37, 67, 51, 32, 68, 44, 31, 84, 33, 60, 33, 66, 36]",2180
1,[70],2186
1,[16],2192
4,"[82, 49, 54, 73]",2197
27,"[33, 19, 34, 16, 43, 16, 43, 16, 21, 2, 1, 42, 13, 37, 25, 3, 15, 20, 14, 31, 43, 30, 17, 42, 43, 1, 16]",2202
1,[44],2206
3,"[33, 60, 17]",2212
1,[39],2221
3,"[17, 5, 23]",2225
2,"[39, 50]",2231
1,[82],2235
174,"[64, 63, 70, 49, 6, 34, 71, 25, 7, 25, 34, 36, 2, 83, 22, 82, 26, 55, 36, 64, 82, 27, 3, 22, 17, 80, 53, 0, 59, 25, 10, 1, 2, 47, 40, 12, 44, 85, 54, 56, 10, 6, 25, 49, 68, 76, 59, 44, 43, 51, 3, 30, 40, 32, 18, 59, 13, 76, 63, 64, 11, 78, 58, 24, 56, 27, 17, 84, 3, 63, 11, 30, 29, 49, 82, 68, 54, 13, 76, 50, 15, 47, 66, 53, 74, 14, 21, 61, 66, 19, 54, 34, 3, 46, 54, 27, 46, 66, 1, 8, 67, 27, 49, 26, 55, 52, 16, 10, 59, 45, 82, 79, 42, 9, 66, 82, 3, 1, 20, 79, 50, 57, 56, 81, 31, 66, 57, 41, 14, 66, 15, 20, 57, 33, 61, 67, 73, 60, 8, 10, 35, 65, 37, 31, 22, 58, 29, 80, 57, 82, 22, 3, 28, 38, 55, 6, 67, 57, 49, 5, 70, 39, 62, 21, 14, 56, 0, 55, 73, 30, 14, 15, 75, 47]",2241
1,[44],2243
2,"[56, 30]",2253
1,[31],2261
1,[58],2267
1,[46],2274
2,"[27, 24]",2281
1,[28],2289
1,[76],2299
11,"[2, 62, 47, 20, 50, 57, 48, 44, 39, 52, 22]",2308
1,[50],2316
2,"[35, 84]",2322
1,[82],2328
1,[84],2334
1,[74],2343
1,[37],2352
1,[47],2360
1,[28],2365
1,[35],2371
1,[67],2381
1,[64],2389
1,[15],2398
2,"[67, 15]",2409
3,"[51, 48, 44]",2417
4,"[84, 84, 76, 86]",2426
1,[63],2434
6,"[58, 62, 29, 62, 62, 65]",2441
1,[83],2450
1,[47],2457
1,[25],2463
3,"[84, 77, 86]",2473
1,[56],2478
1,[9],2487
1,[82],2496
1,[66],2502
1,[16],2510
1,[17],2518
1,[37],2529
1,[36],2538
9,"[76, 46, 57, 48, 28, 1, 43, 75, 47]",2547
2,"[34, 59]",2554
2,"[30, 55]",2564
3,"[55, 17, 55]",2576
1,[13],2585
8,"[60, 17, 34, 27, 33, 23, 26, 58]",2592
1,[44],2602
1,[47],2609
1,[41],2619
1,[70],2629
2,"[36, 54]",2636
1,[30],2642
1,[79],2654
1,[66],2661
3,"[19, 37, 81]",2669
1,[29],2678
1,[34],2685
1,[76],2691
1,[81],2700
1,[51],2706
1,[47],2716
2,"[14, 14]",2727
1,[26],2740
3,"[85, 79, 80]",2752
1,[32],2761
2,"[75, 77]",2768
2,"[77, 58]",2778
1,[1],2788
1,[86],2794
1,[15],2801
2,"[55, 49]",2810
2,"[62, 55]",2819
1,[8],2829
4,"[82, 73, 84, 84]",2833
1,[30],2842
1,[36],2851
2,"[19, 49]",2857
2,"[23, 22]",2864
1,[59],2874
1,[67],2889
1,[2],2895
1,[25],2905
1,[74],2911
1,[21],2921
1,[34],2929
1,[82],2939
1,[38],2947
1,[43],2953
2,"[27, 27]",2963
1,[83],2971
4,"[82, 37, 2, 29]",2978
1,[36],2987
1,[2],2994
5,"[9, 63, 78, 80, 56]",3002
1,[22],3005
1,[65],3008
1,[16],3013
3,"[63, 37, 13]",3021
1,[22],3024
1,[41],3029
2,"[2, 2]",3033
3,"[16, 3, 84]",3038
3,"[38, 51, 15]",3042
1,[79],3047
1,[80],3051
4,"[9, 16, 9, 17]",3057
1,[3],3062
1,[16],3065
2,"[16, 3]",3072
2,"[34, 18]",3075
6,"[54, 26, 18, 54, 7, 36]",3084
1,[15],3091
1,[69],3097
1,[64],3105
1,[25],3109
1,[27],3116
3,"[59, 50, 50]",3122
1,[4],3128
1,[23],3133
1,[3],3138
6,"[23, 17, 64, 50, 49, 50]",3144
2,"[70, 76]",3149
8,"[15, 44, 9, 15, 59, 44, 35, 35]",3153
2,"[62, 62]",3158
1,[18],3162
1,[9],3167
1,[28],3171
1,[36],3177
1,[45],3181
11,"[60, 27, 27, 28, 60, 18, 27, 39, 54, 58, 24]",3186
1,[54],3195
1,[23],3200
1,[54],3207
3,"[34, 28, 27]",3212
8,"[2, 0, 4, 69, 3, 6, 1, 46]",3218
15,"[51, 7, 25, 67, 25, 22, 21, 73, 76, 71, 23, 71, 36, 32, 37]",3224
2,"[27, 25]",3228
2,"[23, 23]",3237
3,"[27, 28, 34]",3245
1,[59],3248
1,[24],3252
2,"[20, 52]",3255
1,[7],3261
4,"[49, 84, 6, 54]",3263
2,"[35, 33]",3268
1,[59],3274
1,[16],3281
1,[39],3289
1,[16],3293
2,"[81, 81]",3301
1,[7],3307
1,[28],3313
1,[24],3322
1,[32],3331
4,"[44, 47, 49, 44]",3336
1,[49],3340
1,[60],3349
1,[27],3355
4,"[15, 2, 29, 4]",3361
5,"[11, 29, 11, 11, 29]",3367
17,"[62, 82, 47, 59, 59, 62, 62, 62, 52, 59, 59, 59, 52, 62, 59, 59, 24]",3378
1,[59],3384
1,[19],3393
1,[70],3401
1,[70],3408
1,[43],3416
1,[51],3422
1,[16],3430
6,"[44, 44, 44, 44, 59, 44]",3435
2,"[10, 10]",3441
1,[48],3448
1,[70],3450
5,"[83, 83, 63, 83, 83]",3455
1,[75],3461
1,[40],3467
1,[39],3471
2,"[11, 10]",3474
2,"[12, 12]",3482
4,"[78, 78, 78, 78]",3486
2,"[64, 27]",3488
1,[31],3491
4,"[66, 66, 66, 66]",3496
2,"[66, 66]",3500
4,"[66, 66, 66, 66]",3506
6,"[69, 83, 69, 73, 82, 78]",3512
1,[63],3518
1,[44],3523
3,"[45, 58, 45]",3527
1,[46],3532
11,"[12, 8, 64, 22, 22, 64, 47, 64, 8, 12, 22]",3538
1,[20],3541
3,"[20, 27, 25]",3549
6,"[81, 37, 70, 70, 16, 74]",3556
2,"[14, 14]",3560
12,"[68, 23, 35, 29, 31, 31, 1, 17, 31, 3, 24, 66]",3565
1,[67],3571
5,"[74, 76, 74, 77, 86]",3581
2,"[28, 24]",3586
3,"[41, 41, 41]",3588
2,"[53, 16]",3593
1,[66],3598
2,"[44, 55]",3606
2,"[28, 18]",3609
1,[11],3613
1,[41],3622
1,[56],3636
2,"[27, 30]",3643
8,"[46, 13, 13, 53, 17, 9, 84, 2]",3651
6,"[69, 17, 68, 13, 76, 60]",3656
20,"[27, 63, 84, 78, 65, 17, 82, 17, 25, 25, 63, 17, 65, 57, 36, 68, 78, 59, 51, 51]",3661
1,[54],3665
1,[86],3672
2,"[29, 21]",3677
5,"[1, 1, 41, 41, 41]",3682
1,[70],3687
1,[66],3693
1,[67],3699
1,[17],3706
1,[57],3711
2,"[63, 63]",3717
3,"[78, 27, 82]",3721
1,[1],3729
1,[41],3734
1,[33],3742
2,"[7, 21]",3747
1,[36],3752
2,"[11, 11]",3760
1,[33],3764
2,"[59, 57]",3769
9,"[11, 18, 17, 36, 51, 23, 79, 1, 17]",3775
3,"[47, 47, 47]",3781
1,[39],3783
3,"[32, 32, 32]",3788
2,"[28, 18]",3797
1,[35],3802
1,[69],3809
1,[49],3814
4,"[56, 21, 53, 56]",3819
2,"[41, 41]",3824
5,"[16, 81, 73, 54, 61]",3826
1,[47],3831
1,[48],3837
1,[47],3841
2,"[3, 3]",3848
1,[41],3852
1,[43],3854
3,"[79, 79, 30]",3858
2,"[15, 13]",3862
1,[50],3866
1,[57],3868
3,"[39, 78, 78]",3872
1,[44],3877
1,[52],3885
8,"[12, 7, 28, 16, 21, 31, 30, 35]",3887
1,[62],3892
7,"[78, 51, 46, 51, 83, 26, 12]",3900
1,[18],3909
2,"[3, 16]",3915
2,"[58, 51]",3924
9,"[69, 33, 0, 1, 2, 3, 6, 24, 4]",3932
6,"[34, 35, 62, 16, 43, 35]",3936
1,[14],3945
7,"[43, 27, 28, 29, 16, 22, 56]",3950
1,[27],3955
76,"[19, 36, 70, 44, 51, 66, 13, 33, 33, 48, 36, 44, 5, 76, 15, 17, 17, 54, 52, 67, 47, 74, 67, 44, 14, 70, 47, 82, 84, 67, 16, 44, 43, 31, 77, 21, 49, 59, 22, 22, 30, 48, 51, 58, 82, 50, 40, 62, 20, 62, 48, 62, 85, 62, 29, 39, 37, 50, 26, 61, 27, 37, 37, 51, 38, 53, 65, 29, 21, 38, 20, 48, 46, 66, 28, 66]",3962
1,[74],3965
4,"[46, 42, 54, 54]",3971
3,"[9, 11, 11]",3980
1,[69],3994
1,[20],4007
1,[66],4016
1,[16],4029
1,[78],4035
2,"[26, 26]",4041
1,[75],4048
3,"[49, 1, 49]",4053
1,[75],4058
4,"[72, 27, 78, 18]",4061
10,"[32, 59, 34, 55, 47, 53, 10, 47, 83, 51]",4069
2,"[10, 6]",4072
1,[62],4075
1,[13],4080
1,[64],4084
1,[46],4091
2,"[51, 51]",4097
1,[85],4101
2,"[16, 63]",4105
17,"[27, 21, 61, 30, 3, 27, 20, 27, 49, 80, 3, 80, 79, 22, 10, 27, 26]",4112
1,[27],4117
3,"[36, 25, 46]",4122
5,"[43, 51, 43, 51, 51]",4125
4,"[71, 69, 59, 2]",4129
1,[28],4135
1,[16],4142
2,"[26, 29]",4147
1,[47],4151
1,[53],4158
1,[64],4164
2,"[67, 67]",4168
2,"[10, 19]",4178
6,"[47, 8, 56, 15, 48, 15]",4183
28,"[73, 46, 44, 66, 74, 66, 10, 20, 66, 19, 44, 66, 47, 58, 35, 78, 62, 49, 49, 45, 49, 35, 26, 49, 47, 47, 29, 49]",4187
1,[4],4191
1,[9],4201
1,[68],4209
2,"[51, 51]",4213
1,[3],4217
1,[39],4224
5,"[14, 14, 56, 21, 14]",4230
1,[59],4238
2,"[15, 82]",4245
2,"[45, 11]",4250
3,"[17, 67, 16]",4256
3,"[59, 27, 74]",4262
2,"[59, 59]",4266
22,"[82, 35, 85, 65, 18, 32, 57, 57, 57, 84, 57, 41, 77, 77, 84, 77, 59, 75, 84, 38, 46, 84]",4275
1,[66],4277
1,[20],4280
4,"[33, 26, 33, 33]",4285
1,[44],4290
1,[48],4298
38,"[27, 84, 59, 63, 46, 79, 23, 51, 22, 9, 24, 30, 65, 41, 10, 60, 58, 27, 65, 21, 47, 29, 58, 58, 53, 46, 15, 18, 32, 0, 43, 16, 57, 14, 36, 11, 13, 16]",4303
1,[62],4307
1,[41],4311
1,[51],4318
1,[17],4321
2,"[62, 29]",4326
1,[10],4332
1,[10],4336
1,[55],4342
2,"[74, 74]",4346
1,[52],4351
1,[20],4359
5,"[17, 3, 11, 2, 1]",4361
14,"[14, 34, 72, 6, 8, 15, 3, 70, 2, 34, 58, 0, 5, 12]",4364
3,"[14, 14, 14]",4373
4,"[72, 83, 73, 36]",4377
1,[16],4383
2,"[35, 34]",4389
2,"[39, 39]",4393
1,[18],4396
4,"[2, 24, 59, 14]",4401
1,[14],4405
1,[25],4410
4,"[5, 6, 6, 4]",4418
2,"[47, 70]",4423
1,[6],4427
3,"[64, 64, 64]",4433
4,"[13, 13, 13, 13]",4441
1,[5],4449
1,[73],4458
1,[17],4462
3,"[18, 18, 18]",4467
7,"[60, 11, 85, 11, 85, 68, 11]",4475
6,"[11, 71, 0, 71, 7, 13]",4482
1,[11],4486
1,[31],4489
3,"[42, 67, 42]",4494
1,[0],4500
1,[54],4506
1,[62],4513
1,[24],4519
1,[24],4523
9,"[41, 2, 59, 47, 19, 78, 43, 62, 81]",4530
1,[18],4536
1,[62],4541
2,"[37, 64]",4546
2,"[22, 12]",4550
12,"[59, 31, 63, 54, 80, 55, 51, 39, 15, 76, 59, 30]",4557
1,[83],4564
1,[0],4568
1,[39],4574
4,"[81, 64, 68, 22]",4582
29,"[5, 4, 72, 3, 78, 39, 36, 30, 40, 61, 71, 3, 16, 5, 13, 6, 6, 47, 6, 43, 68, 38, 14, 6, 15, 47, 59, 77, 15]",4586
1,[31],4588
1,[46],4594
1,[41],4607
1,[17],4617
1,[25],4630
1,[65],4639
1,[7],4649
1,[10],4654
14,"[25, 19, 5, 22, 14, 13, 30, 8, 2, 38, 49, 12, 17, 67]",4657
1,[82],4666
3,"[5, 6, 60]",4671
1,[54],4676
3,"[13, 17, 23]",4681
1,[8],4690
1,[3],4699
1,[3],4704
1,[56],4711
1,[41],4719
1,[8],4731
2,"[53, 15]",4741
1,[66],4750
1,[33],4758
1,[54],4762
1,[80],4770
2,"[46, 85]",4776
1,[3],4784
2,"[6, 6]",4790
13,"[60, 61, 9, 10, 54, 60, 24, 33, 9, 24, 5, 36, 3]",4797
2,"[22, 67]",4805
3,"[48, 44, 47]",4814
1,[81],4821
2,"[37, 37]",4828
1,[13],4834
2,"[75, 75]",4840
5,"[62, 64, 38, 83, 47]",4848
1,[46],4856
1,[57],4862
1,[12],4870
4,"[58, 26, 53, 13]",4876
1,[55],4885
1,[35],4892
1,[5],4898
3,"[72, 72, 72]",4905
1,[47],4910
1,[55],4916
1,[16],4922
1,[27],4928
3,"[68, 68, 68]",4937
1,[69],4943
3,"[64, 64, 64]",4949
2,"[16, 58]",4953
1,[8],4962
1,[50],4971
1,[11],4978
4,"[22, 12, 12, 22]",4983
5,"[63, 62, 20, 20, 20]",4988
1,[86],4994
1,[3],5000
1,[82],5007
1,[3],5014
1,[23],5020
1,[21],5029
5,"[16, 16, 65, 65, 65]",5037
1,[27],5045
1,[1],5054
1,[72],5064
2,"[43, 80]",5073
2,"[51, 3]",5078
1,[39],5084
9,"[14, 13, 6, 49, 21, 66, 34, 34, 21]",5090
2,"[47, 48]",5100
1,[81],5109
19,"[35, 84, 44, 70, 86, 35, 40, 63, 69, 71, 13, 50, 78, 76, 85, 37, 27, 59, 47]",5117
3,"[59, 14, 36]",5121
1,[48],5127
1,[28],5131
1,[20],5140
1,[15],5149
1,[6],5155
2,"[44, 1]",5163
1,[31],5167
1,[64],5174
1,[44],5179
9,"[47, 47, 47, 47, 39, 39, 39, 39, 47]",5185
1,[43],5193
1,[62],5197
7,"[61, 33, 26, 77, 58, 18, 30]",5207
16,"[27, 60, 34, 17, 17, 54, 23, 17, 54, 5, 17, 6, 18, 50, 17, 17]",5209
4,"[26, 52, 46, 51]",5214
3,"[20, 57, 52]",5221
2,"[62, 29]",5229
1,[29],5236
3,"[34, 9, 43]",5244
1,[59],5251
1,[21],5260
1,[2],5267
1,[44],5277
1,[47],5288
2,"[54, 54]",5292
1,[54],5298
1,[2],5308
1,[66],5318
6,"[24, 10, 24, 24, 10, 10]",5324
9,"[16, 31, 18, 18, 18, 71, 71, 18, 71]",5330
1,[82],5334
1,[57],5340
1,[9],5346
41,"[46, 47, 54, 38, 63, 40, 59, 43, 41, 38, 24, 39, 20, 59, 42, 25, 58, 31, 53, 86, 55, 67, 26, 38, 58, 30, 60, 59, 56, 44, 20, 60, 38, 36, 67, 85, 59, 26, 80, 64, 55]",5351
2,"[42, 42]",5355
1,[79],5360
3,"[64, 64, 64]",5366
1,[42],5370
1,[47],5376
1,[46],5382
1,[74],5385
1,[29],5389
1,[83],5393
2,"[24, 29]",5398
3,"[77, 70, 84]",5402
1,[47],5409
8,"[63, 3, 61, 3, 43, 68, 63, 13]",5413
1,[9],5420
1,[69],5429
9,"[18, 42, 35, 49, 27, 34, 47, 24, 54]",5435
4,"[20, 20, 62, 52]",5443
3,"[29, 30, 26]",5447
1,[6],5453
1,[69],5460
1,[50],5463
1,[55],5467
1,[11],5472
5,"[4, 36, 59, 15, 28]",5479
14,"[54, 54, 43, 43, 45, 27, 54, 59, 16, 26, 60, 43, 54, 18]",5483
13,"[59, 81, 4, 3, 28, 65, 31, 10, 34, 79, 43, 65, 2]",5487
1,[47],5494
1,[61],5503
2,"[38, 10]",5510
